short_name,long_name,Community District,2010,2011,2012,2013,2014,2015,2016,2017
rent_asking_med,"Median rent, asking",BK 04 - Bushwick,1600,1695,1950,2295,2400,2500,2599,2525
rent_asking_med,"Median rent, asking",BK 05 - East New York/Starrett City,,,1350,1500,1597.5,1750,1900,2000
rent_asking_med,"Median rent, asking",BK 06 - Park Slope/Carroll Gardens,2300,2500,2700,2750,2800,2895,2900,2800
rent_asking_med,"Median rent, asking",BK 07 - Sunset Park,1600,1700,1800,1850,1900,2050,2100,2375
rent_asking_med,"Median rent, asking",BK 08 - Crown Heights/Prospect Heights,1869,1900,2100,2300,2385,2490,2500,2499
rent_asking_med,"Median rent, asking",BK 09 - South Crown Heights/Lefferts Gardens,1475,1500,1650,1800,1750,1700,2022,2175
rent_asking_med,"Median rent, asking",BK 10 - Bay Ridge/Dyker Heights,1412.5,1500,1600,1600,1700,1800,2000,1900
rent_asking_med,"Median rent, asking",BK 11 - Bensonhurst,1325,1300,1350,1400,1500,1650,1785,1750
rent_asking_med,"Median rent, asking",BK 12 - Borough Park,1575,1600,1600,1750,1800,1875,2000,1950
rent_asking_med,"Median rent, asking",BK 13 - Coney Island,1337.5,1300,1500,1500,1600,1800,1850,1995
rent_asking_med,"Median rent, asking",BK 14 - Flatbush/Midwood,1750,1500,1500,1500,1650,1800,1850,1925
rent_asking_med,"Median rent, asking",BK 15 - Sheepshead Bay,1650,1550,1500,1528.5,1600,1650,1750,1800
rent_asking_med,"Median rent, asking",BK 16 - Brownsville,,,,1400,1400,1575,1650,2150
rent_asking_med,"Median rent, asking",BK 17 - East Flatbush,1625,,1272.5,1475,1400,1500,1675,1900
rent_asking_med,"Median rent, asking",BK 18 - Flatlands/Canarsie,,1500,1575,1500,1600,1712.5,1800,1850
rent_asking_med,"Median rent, asking",QN 01 - Astoria,1700,1900,2500,2200,2150,2200,2250,2200
rent_asking_med,"Median rent, asking",QN 02 - Woodside/Sunnyside,2450,2600,2800,2675,2595,2356,2475,2423
rent_asking_med,"Median rent, asking",QN 03 - Jackson Heights,1397.5,1450,1587.5,1600,1700,1775,1875,1850
rent_asking_med,"Median rent, asking",QN 04 - Elmhurst/Corona,1150,1150,1800,1750,1550,1675,1800,1850
rent_asking_med,"Median rent, asking",QN 05 - Ridgewood/Maspeth,1500,1500,2000,1795,1850,2100,2100,2300
rent_asking_med,"Median rent, asking",QN 06 - Rego Park/Forest Hills,1600,1795,1825,1800,1875,2000,2100,2000
rent_asking_med,"Median rent, asking",QN 07 - Flushing/Whitestone,1550,1605,1600,1700,1800,1850,1950,2063
rent_asking_med,"Median rent, asking",QN 08 - Hillcrest/Fresh Meadows,1400,1400,1550,1600,1675,1699.5,1750,1800
rent_asking_med,"Median rent, asking",QN 09 - Kew Gardens/Woodhaven,1425,1395,1700,1550,1600,1725,1800,1850
rent_asking_med,"Median rent, asking",QN 10 - South Ozone Park/Howard Beach,,,,,,1425,,1825
rent_asking_med,"Median rent, asking",QN 11 - Bayside/Little Neck,1785,1850,1850,1900,2100,2000,2200,2050
rent_asking_med,"Median rent, asking",QN 12 - Jamaica/Hollis,,1675,1600,1595,1625,1650,1800,1995
rent_asking_med,"Median rent, asking",QN 13 - Queens Village,,1800,1800,1795,1850,1700,1825,1900
rent_asking_med,"Median rent, asking",QN 14 - Rockaway/Broad Channel,1505,999,999,1218,1300,1500,1850,1795
rent_asking_med,"Median rent, asking",SI 01 - St. George/Stapleton,1250,1500,1500,2047.5,1725,1650,1867.5,1950
rent_asking_med,"Median rent, asking",SI 02 - South Beach/Willowbrook,1750,1350,,1175,1270,1325,1775,1950
rent_asking_med,"Median rent, asking",SI 03 - Tottenville/Great Kills,,,,,,1625,1825,1750
rent_asking_med,"Median rent, asking",MN 01 - Financial District,3495,3650,3895,3750,3875,3947,3950,3950
rent_asking_med,"Median rent, asking",MN 02 - Greenwich Village/Soho,3200,3300,3495,3400,3500,3600,3700,3595
rent_asking_med,"Median rent, asking",MN 03 - Lower East Side/Chinatown,2495,2600,2850,3000,3000,3000,3150,3000
rent_asking_med,"Median rent, asking",MN 04 - Clinton/Chelsea,2900,3050,3235,3468,3490,3795,3750,3400
rent_asking_med,"Median rent, asking",MN 05 - Midtown,3495,3595,3712.5,3655,3750,3800,3830,4000
rent_asking_med,"Median rent, asking",MN 06 - Stuyvesant Town/Turtle Bay,2700,2995,3057,3195,3371,3395,3339,3300
rent_asking_med,"Median rent, asking",MN 07 - Upper West Side,2750,3000,3100,3100,3200,3295,3295,3200
rent_asking_med,"Median rent, asking",MN 08 - Upper East Side,2469.5,2500,2595,2650,2600,2765,2799,2780
rent_asking_med,"Median rent, asking",MN 09 - Morningside Heights/Hamilton,1900,2150,2197.5,2200,2300,2499.5,2533,2600
rent_asking_med,"Median rent, asking",MN 10 - Central Harlem,1845,1900,1995,2025,2140,2000,2150,2350
rent_asking_med,"Median rent, asking",MN 11 - East Harlem,1995,1900,2100,2000,1995,2100,2218,2400
rent_asking_med,"Median rent, asking",MN 12 - Washington Heights/Inwood,1595,1650,1700,1750,1800,1950,2050,2087
rent_asking_med,"Median rent, asking",BX 01 - Mott Haven/Melrose,1529,1100,1200,1500,1500,1700,1850,1900
rent_asking_med,"Median rent, asking",BX 02 - Hunts Point/Longwood,,,,1150,1067,1399,1600,1750
rent_asking_med,"Median rent, asking",BX 03 - Morrisania/Crotona,1412.5,1325,1350,1400,1350,1395,1500,1750
rent_asking_med,"Median rent, asking",BX 04 - Highbridge/Concourse,1323,1270,1275,1350,1395,1450,1550,1650
rent_asking_med,"Median rent, asking",BX 05 - Fordham/University Heights,,1125,1150,1185,1250,1300,1495,1600
rent_asking_med,"Median rent, asking",BX 06 - Belmont/East Tremont,,,1450,1150,1250,1400,1450,1700
rent_asking_med,"Median rent, asking",BX 07 - Kingsbridge Heights/Bedford,1050,1100,1125,1175,1295,1370,1450,1500
rent_asking_med,"Median rent, asking",BX 08 - Riverdale/Fieldston,1900,1800,1800,1850,1999,1997,2000,1900
rent_asking_med,"Median rent, asking",BX 09 - Parkchester/Soundview,,1200,,1325,1258.5,1350,1500,1600
rent_asking_med,"Median rent, asking",BX 10 - Throgs Neck/Co-op City,,1200,1300,1387.5,1300,1400,1500,1750
rent_asking_med,"Median rent, asking",BX 11 - Morris Park/Bronxdale,,,1175,,1325,1500,1575,1600
rent_asking_med,"Median rent, asking",BX 12 - Williamsbridge/Baychester,,,,1300,1337.5,1299,1450,1600
rent_asking_med,"Median rent, asking",BK 01 - Greenpoint/Williamsburg,2500,2750,3000,3100,3055,3050,3050,2975
rent_asking_med,"Median rent, asking",BK 02 - Fort Greene/Brooklyn Heights,2447,2600,2752.5,2995,2929,3030,3060,2995
rent_asking_med,"Median rent, asking",BK 03 - Bedford Stuyvesant,1900,2000,2200,2400,2500,2500,2500,2400
